,Teams,Conference,Division
0,ARI,NFC,West
1,ATL,NFC,South
2,BAL,AFC,North
3,BUF,AFC,East
4,CAR,NFC,South
5,CHI,NFC,North
6,CIN,AFC,North
7,CLE,AFC,North
8,DAL,NFC,East
9,DEN,AFC,West
10,DET,NFC,North
11,GB,NFC,North
12,HOU,AFC,South
13,IND,AFC,South
14,JAX,AFC,South
15,KC,AFC,West
16,LAC,AFC,West
17,LAR,NFC,West
18,MIA,AFC,East
19,MIN,NFC,North
20,NE,AFC,East
21,NO,NFC,South
22,NYG,NFC,East
23,NYJ,AFC,East
24,OAK,AFC,West
25,PHI,NFC,East
26,PIT,AFC,North
27,SEA,NFC,West
28,SF,NFC,West
29,TB,NFC,South
30,TEN,AFC,South
31,WAS,NFC,East
